schemaVersion,recordType,source.name,source.url,content.startupName,content.pricingModel,collectedAt
1.0,PRODUCT,Hugging Face Space (pornmaster-krea2),https://huggingface.co/spaces/2i/pornmaster-krea2,2i,FREE,2026-08-29T05:31:24.014684+00:00
1.0,PRODUCT,Hugging Face Space (NSFW-gen-v2.1),https://huggingface.co/spaces/Alarzauto/NSFW-gen-v2.1,Alarzauto,FREE,2026-08-29T05:31:24.014778+00:00
1.0,PRODUCT,Hugging Face Space (HWMNet_lowlight_enhancement),https://huggingface.co/spaces/52Hz/HWMNet_lowlight_enhancement,52Hz,FREE,2026-08-29T05:31:24.014868+00:00
1.0,PRODUCT,Hugging Face Space (MammoGANesis),https://huggingface.co/spaces/AUBMC-AIM/MammoGANesis,AUBMC-AIM,FREE,2026-08-29T05:31:24.014953+00:00
1.0,PRODUCT,Hugging Face Space (foo-gradio),https://huggingface.co/spaces/Ab0/foo-gradio,Ab0,FREE,2026-08-29T05:31:24.015051+00:00
1.0,PRODUCT,Hugging Face Space (foo-html),https://huggingface.co/spaces/Ab0/foo-html,Ab0,FREE,2026-08-29T05:31:24.015143+00:00
1.0,PRODUCT,Hugging Face Space (MarianCG-CoNaLa),https://huggingface.co/spaces/AhmedSSoliman/MarianCG-CoNaLa,AhmedSSoliman,FREE,2026-08-29T05:31:24.015240+00:00
1.0,PRODUCT,Hugging Face Space (clip-guided-diffusion),https://huggingface.co/spaces/akhaliq/clip-guided-diffusion,akhaliq,FREE,2026-08-29T05:31:24.015344+00:00
1.0,PRODUCT,Hugging Face Space (persona-chatbot),https://huggingface.co/spaces/cahya/persona-chatbot,cahya,FREE,2026-08-29T05:31:24.015435+00:00
1.0,PRODUCT,Hugging Face Space (face-swap),https://huggingface.co/spaces/felixrosberg/face-swap,felixrosberg,FREE,2026-08-29T05:31:24.015523+00:00
1.0,PRODUCT,Hugging Face Space (Question-Answering_roberta),https://huggingface.co/spaces/gulabpatel/Question-Answering_roberta,gulabpatel,FREE,2026-08-29T05:31:24.015613+00:00
1.0,PRODUCT,Hugging Face Space (DeepDanbooru),https://huggingface.co/spaces/hysts/DeepDanbooru,hysts,FREE,2026-08-29T05:31:24.015703+00:00
1.0,PRODUCT,Hugging Face Space (Lane-Shape-Prediction-with-Transformers),https://huggingface.co/spaces/ibaiGorordo/Lane-Shape-Prediction-with-Transformers,ibaiGorordo,FREE,2026-08-29T05:31:24.015787+00:00
1.0,PRODUCT,Hugging Face Space (multimodal_entailment),https://huggingface.co/spaces/keras-io/multimodal_entailment,keras-io,FREE,2026-08-29T05:31:24.015874+00:00
1.0,PRODUCT,Hugging Face Space (Sentiment-Analysis),https://huggingface.co/spaces/nazianafis/Sentiment-Analysis,nazianafis,FREE,2026-08-29T05:31:24.015956+00:00
1.0,PRODUCT,Hugging Face Space (speech_to_text),https://huggingface.co/spaces/piecurus/speech_to_text,piecurus,FREE,2026-08-29T05:31:24.016043+00:00
1.0,PRODUCT,Hugging Face Space (Tacotron2),https://huggingface.co/spaces/pytorch/Tacotron2,pytorch,FREE,2026-08-29T05:31:24.016127+00:00
1.0,PRODUCT,Hugging Face Space (Multilingual-Zero-Shot-Sentiment-Classification),https://huggingface.co/spaces/savasy/Multilingual-Zero-Shot-Sentiment-Classification,savasy,FREE,2026-08-29T05:31:24.016215+00:00
1.0,PRODUCT,Hugging Face Space (english-to-bangla-translation),https://huggingface.co/spaces/shawon100/english-to-bangla-translation,shawon100,FREE,2026-08-29T05:31:24.016298+00:00
1.0,PRODUCT,Hugging Face Space (text-summarization),https://huggingface.co/spaces/widged/text-summarization,widged,FREE,2026-08-29T05:31:24.016388+00:00
1.0,PRODUCT,Hugging Face Space (dpt-depth-estimation-3d-voxels),https://huggingface.co/spaces/radames/dpt-depth-estimation-3d-voxels,radames,FREE,2026-08-29T05:31:24.016472+00:00
1.0,PRODUCT,Hugging Face Space (post-processing-summarization),https://huggingface.co/spaces/ml6team/post-processing-summarization,ml6team,FREE,2026-08-29T05:31:24.016556+00:00
1.0,PRODUCT,Hugging Face Space (hotdog-gradio),https://huggingface.co/spaces/NimaBoscarino/hotdog-gradio,NimaBoscarino,FREE,2026-08-29T05:31:24.016643+00:00
1.0,PRODUCT,Hugging Face Space (demo4_imageclassification),https://huggingface.co/spaces/SLU-CSCI4750/demo4_imageclassification,SLU-CSCI4750,FREE,2026-08-29T05:31:24.016726+00:00
1.0,PRODUCT,Hugging Face Space (Image_Classification_using_Consistency_Training),https://huggingface.co/spaces/Blazer007/Image_Classification_using_Consistency_Training,Blazer007,FREE,2026-08-29T05:31:24.016810+00:00
1.0,PRODUCT,Hugging Face Space (Object-Detection-Using-RetinaNet),https://huggingface.co/spaces/keras-io/Object-Detection-Using-RetinaNet,keras-io,FREE,2026-08-29T05:31:24.016893+00:00
1.0,PRODUCT,Hugging Face Space (PARSeq-OCR),https://huggingface.co/spaces/baudm/PARSeq-OCR,baudm,FREE,2026-08-29T05:31:24.016980+00:00
1.0,PRODUCT,Hugging Face Space (TextToVideo),https://huggingface.co/spaces/Kameswara/TextToVideo,Kameswara,FREE,2026-08-29T05:31:24.017063+00:00
1.0,PRODUCT,Hugging Face Space (AI_textgeneration),https://huggingface.co/spaces/vaariis/AI_textgeneration,vaariis,FREE,2026-08-29T05:31:24.017146+00:00
